ï»¿tweet_id,tweet,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls,time
1176489837517344769,"Thank you to our customers who donated relief items for a second Amazon Air plane of humanitarian aid. Together, more than 400,000 Amazon-donated &amp; customer-donated items have been provided to those affected by #HurricaneDorian in the Bahamas &amp; the US. https://t.co/NAcnQs4mx9 https://t.co/01jh0Y5bZr",en,Tweet,5,4295,382,974,,2019-09-24 16:33:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#HurricaneDorian,http://Amazon.com/disasterrelief,photo,"https://pbs.twimg.com/media/EFO7PpRVUAMYtOO.jpg,https://pbs.twimg.com/media/EFO7PpTUUAAA9_B.jpg",2019-09-24 16:33:30
1176310291300093952,"A record year of #Emmy wins for @PrimeVideo - fantastic work. Huge congrats to the winners and teams behind @Fleabag, @MaiselTV, and A Very English Scandal! https://t.co/KS2NLZpY88",en,Tweet,12,3570,237,507,,2019-09-24 04:40:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#Emmy,,photo,"https://pbs.twimg.com/media/EFMX9RVU4AA6pw9.jpg,https://pbs.twimg.com/media/EFMX9RUVUAENw2j.jpg,https://pbs.twimg.com/media/EFMX9RVU0AEn_TQ.jpg,https://pbs.twimg.com/media/EFMX9RVU0AIFY_v.jpg",2019-09-24 04:40:02
1175854166066913280,"Good luck to @RachelBros, Phoebe Waller-Bridge, the @MaiselTV and @Fleabag teams, and all @PrimeVideo shows up for #Emmys tonight! https://t.co/mTTj82hfeK",en,Tweet,5,2799,197,406,,2019-09-22 22:27:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#Emmys,,photo,https://pbs.twimg.com/media/EFF5HtTUcAACAEb.jpg,2019-09-22 22:27:34
1175149613894045698,"If you canât compete with lower prices and better services, then secretly fund phony âgrassrootsâ attack campaigns. #Ugly. https://t.co/ZyXBZp9dkT",en,Retweet,45,1202,210,288,,2019-09-20 23:47:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Ugly,https://www.wsj.com/articles/a-grassroots-campaign-to-take-down-amazon-is-funded-by-amazons-biggest-rivals-11568989838,,,2019-09-20 23:47:55
1174704799645720586,"Super excited about The Climate Pledge. Impossible to do this without @CFigueres. So grateful to you, Christiana. #ClimatePledge #Paris10YearsEarly https://t.co/E9hkaLat5V",en,Tweet,11,3019,399,596,,2019-09-19 18:20:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#ClimatePledge,#Paris10YearsEarly",,photo,https://pbs.twimg.com/media/EE1jyWfUwAEgVYk.jpg,2019-09-19 18:20:23
1173973723189108736,"Yesterday the first Amazon Air plane loaded with relief items arrived in Nassau, Bahamas to help victims of #HurricaneDorian. The cargo weight was 72,728 lbs, with approx. 19,300 items on board. Huge thanks to the teams across Amazon who made this happen. https://t.co/iY86RGh9AX https://t.co/YFvC8Xl6mW",en,Tweet,7,4473,527,525,,2019-09-17 17:55:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#HurricaneDorian,http://amazon.com/disasterrelief,photo,https://pbs.twimg.com/ext_tw_video_thumb/1173973614892208130/pu/img/KQky6jVQO94ANREX.jpg,2019-09-17 17:55:21
1173728216550260736,Shout out to the new Amazonians who let me drop by their New Hire Orientation today. Incredible to welcome so many smart and passionate people from all over the world. Iâm looking forward to our #AmazonCareerDay events tomorrow! https://t.co/JM6CF1uoRW,en,Tweet,10,4007,295,553,,2019-09-17 01:39:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#AmazonCareerDay,,photo,https://pbs.twimg.com/media/EEnrlXaVUAAKjLK.jpg,2019-09-17 01:39:48
1172517558336905218,"Visited the amazing @Nia_House Montessori in Nashville with @mike_m_george. Learned a lot thatâs going to help Day 1 Academies. By the way, âNiaâ means âpurposeâ in Swahili. Very cool. https://t.co/OhSQeD5jls",en,Tweet,16,2694,254,500,,2019-09-13 17:29:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/ext_tw_video_thumb/1172517385871351810/pu/img/bbKbN1p44sXfg0wf.jpg,2019-09-13 17:29:04
1171872387492528128,"Today, we announced that we added 24 schools in #Nashville to our #AmazonFutureEngineer program. Loved celebrating the great news by building robots with students from Madison Middle School. https://t.co/PAjMfl4pEw",en,Tweet,21,5352,606,590,,2019-09-11 22:45:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Nashville,#AmazonFutureEngineer",,photo,https://pbs.twimg.com/ext_tw_video_thumb/1171872292386684929/pu/img/6rJklxon4coTGyfj.jpg,2019-09-11 22:45:24
1171060934753734656,We're sending two Amazon Air planes packed with tens of thousands of Amazon-donated and customer-donated relief items to support those impacted by #HurricaneDorian in the Bahamas. Thanks to all the teams who are making this possible. https://t.co/iY86RGh9AX https://t.co/Y3DHueJaXf,en,Tweet,5,5688,697,581,,2019-09-09 17:00:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#HurricaneDorian,http://amazon.com/disasterrelief,photo,https://pbs.twimg.com/media/EEBxtWDUUAEIvbW.jpg,2019-09-09 17:00:58
1170697204845039616,Season 2 streams November 1. Canât wait. #JackRyan https://t.co/THDtDjGIpQ,en,Tweet,19,7690,608,578,,2019-09-08 16:55:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#JackRyan,,photo,"https://pbs.twimg.com/media/ED8m5DtUUAA6_L4.jpg,https://pbs.twimg.com/media/ED8m5EAU0AEwyqO.jpg",2019-09-08 16:55:38
1170036283315388416,"Rooting for team India. Good luck, India! #Chandrayaan2 https://t.co/iWWSqPs4nz",en,Tweet,83,42531,7288,823,,2019-09-06 21:09:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#Chandrayaan2,https://www.space.com/india-chandrayaan-2-moon-south-pole-landing-site.html,,,2019-09-06 21:09:22
