id,time,url,tweet,replies,retweets,quotes,likes
8.60253e+17,2017-05-04 22:00:00,https://twitter.com/JoeBiden/status/860252829184806912,Millions of Americans will lose coverage. Up to the Senate now. Hoping for courage to return.,363,5540,133,15748
8.62041e+17,2017-05-09 20:27:00,https://twitter.com/JoeBiden/status/862041297451835393,"To the teacher who inspires me every day, and all the other amazing teachers changing lives, Happy #NationalTeachersDay! https://t.co/cismp3x67d",178,2159,152,14820
8.6488e+17,2017-05-17 16:25:00,https://twitter.com/JoeBiden/status/864879534096629760,LGBT rights are human rights. Prejudice is prejudice; inhumanity is inhumanity.  #IDAHOT #IDAHOT2017 https://t.co/XyAWDqAtAJ,247,2995,157,9980
8.6773e+17,2017-05-25 13:13:00,https://twitter.com/JoeBiden/status/867730227543158784,"Great to see Mayor @marty_walsh, and hear about everything he's doing to keep Boston strong. https://t.co/U74RGLciBb",96,563,110,4313
8.68553e+17,2017-05-27 19:43:00,https://twitter.com/JoeBiden/status/868553216698482692,Zbigniew Brzezinski's brilliant strategic mind enriched American foreign policy for decades--his distinctive voice will be greatly missed.,77,498,18,3820
8.693e+17,2017-05-29 21:10:00,https://twitter.com/JoeBiden/status/869299920129359872,"To our nation's fallen troops: we thank you and will never forget. To their families: remember, you are never alone.",128,2915,34,18277
8.70039e+17,2017-05-31 22:07:00,https://twitter.com/JoeBiden/status/870039020415352836,Climate change is an existential threat to our futureâstaying in #ParisAgreement is the best way to protect our children &amp; global leadership,706,13444,385,41362
8.70283e+17,2017-06-01 14:17:00,https://twitter.com/JoeBiden/status/870283056443162624,America has always thought BIG. Itâs stamped into our DNA.,204,739,109,5709
8.70283e+17,2017-06-01 14:18:00,https://twitter.com/JoeBiden/status/870283447511769090,Our politics has become too small and petty. Weâre better than this.,137,572,69,2374
8.70284e+17,2017-06-01 14:19:00,https://twitter.com/JoeBiden/status/870283709903233026,Itâs time to remember who we are as Americans: Giving EVERYONE the opportunity to achieve the impossible.,81,381,35,1618
8.70284e+17,2017-06-01 14:20:00,https://twitter.com/JoeBiden/status/870283967454466049,America is at its best when weâre OPTIMISTIC and we THINK BIG.,56,315,22,1609
8.70284e+17,2017-06-01 14:21:00,https://twitter.com/JoeBiden/status/870284285282062337,Thereâs no one better positioned on Earth to lead the world in the 21st century than America. We just have to believe it.,157,382,35,2359
8.70286e+17,2017-06-01 14:27:00,https://twitter.com/JoeBiden/status/870285583838584832,"It's time for big dreams and #AmericanPossibilities. If you're ready to elect folks who agree, say you're in: https://t.co/HyJR0b0KxA https://t.co/nmvlgZfKYN",2103,3108,319,13857
8.70375e+17,2017-06-01 20:21:00,https://twitter.com/JoeBiden/status/870374738597564416,We're already feeling impacts of climate change. Exiting #ParisAgreement imperils US security and our ability to own the clean energy future,879,10277,326,33733
8.71154e+17,2017-06-03 23:59:00,https://twitter.com/JoeBiden/status/871154315502784512,"Congrats to Ambassador Andy Young, a dear friend and inspiration, on 85 years. Wish I could be in Atlanta tonight for AJY Leadership Awards.",44,168,5,2485
8.72445e+17,2017-06-07 13:28:00,https://twitter.com/JoeBiden/status/872445131080646656,"Great to be with @PennBiden in Athens. A Europe whole, free, &amp; at peace remains vital to U.S. securityâas it has been for the past 7 decades",67,401,13,3667
8.72507e+17,2017-06-07 17:34:00,https://twitter.com/JoeBiden/status/872507057747877889,Honored to see Ecumenical Patriarch Bartholomew in Athens â his leadership on climate change and the environment is the example we need now https://t.co/VO2zdVc3Gc,73,414,25,3410
8.74354e+17,2017-06-12 19:52:00,https://twitter.com/JoeBiden/status/874353636364738560,"We meet unspeakable tragedy and hate with unbound resolve. I stand with the LGBTQ community, today and every day. #OrlandoUnitedDay. https://t.co/9lvBiV8q1k",114,1787,48,10389
8.75043e+17,2017-06-14 17:31:00,https://twitter.com/JoeBiden/status/875043119213023235,"Jill and I are praying for the victims and their families. Grateful for courage of my former colleagues, first responders &amp; Capitol Police.",84,1006,22,11970
8.75498e+17,2017-06-15 23:41:00,https://twitter.com/JoeBiden/status/875498421842587648,"Congrats &amp; good luck to my former staffer Dr. Tony Allen, incoming Provost of @DelStateUniv! A great fit for a passionate public servant.",31,106,12,1573
8.76302e+17,2017-06-18 04:52:00,https://twitter.com/JoeBiden/status/876301689632034816,Jill and I are praying for the people of Colombia and the families of the victims of tonight's bomb explosion. #BogotaEstoyContigo,104,1297,51,8311
8.77256e+17,2017-06-20 20:03:00,https://twitter.com/JoeBiden/status/877255555244597248,"Americaâs soul is rooted in the promise of opportunity. We must protect, support &amp; welcome refugees to keep that promise. #WorldRefugeeDay https://t.co/4K3exquxgl",100,1196,28,5007
8.78379e+17,2017-06-23 22:25:00,https://twitter.com/JoeBiden/status/878378606464036865,The Senate health bill isn't about health care at allâit's a wealth transfer: slashes care to fund tax cuts for the wealthy &amp; corporations.,1019,16375,787,35801
8.78379e+17,2017-06-23 22:26:00,https://twitter.com/JoeBiden/status/878378777549471744,"Slashing Medicaid hurts kids, the elderly, people with disabilities and those struggling with addiction. All for tax breaks for the wealthy.",212,3132,115,7374
8.78379e+17,2017-06-23 22:27:00,https://twitter.com/JoeBiden/status/878379025634390016,"Especially now, when so many communities are struggling with opioid addiction, the bill's drastic cuts to Medicaid are cruel.",113,1534,47,5123
8.78379e+17,2017-06-23 22:28:00,https://twitter.com/JoeBiden/status/878379136590299136,"Let's see a bill that actually tries to improve folks' health care, and then we can have a reasonable debate about how to best do that.",277,2313,100,8496
