tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
892774250272112641,Incredible turnout to see the first booster ever to fly into space and land vertically upon the Earth. #BlueOrigin #Oshkosh https://t.co/fh9KqVBCUo,en,Tweet,0,3356,719,221,,2017-08-02 18:49:02,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#BlueOrigin,#Oshkosh",,photo,https://pbs.twimg.com/media/DGPFLs3UIAItVkF.jpg
886779647660179457,Mike Collins cracking us all up last night. https://t.co/bnpHp0ZCK4,en,Tweet,1,1262,148,268,,2017-07-17 05:48:38,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/DE55MbOU0AEpfF-.jpg
886779328096116736,"Huge thanks from the whole @BlueOrigin team, Buzz https://t.co/LRKyd5ncil",en,Tweet,1,1709,250,114,,2017-07-17 05:47:22,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,https://twitter.com/TheRealBuzz/status/886778900193431552,,
884475655148011520,Going to Oshkosh? Come sit inside @BlueOrigin’s crew capsule and enjoy a simulated ride to space @EAA #OSH17 https://t.co/E6uejQLDgG https://t.co/EjUuY5bdw7,en,Tweet,1,2006,483,189,,2017-07-10 21:13:23,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#OSH17,https://www.eaa.org/en/airventure/eaa-airventure-news-and-multimedia/eaa-airventure-news/eaa-airventure-oshkosh/07-10-2017-blue-origin-to-bring-reusable-rocket-and-crew-capsule-to-airventure-2017,photo,https://pbs.twimg.com/media/DEZJhhtVoAAbznR.jpg
882786853404893184,This is a gigantic compliment to our teams. Best of luck Haggler in your continuing adventures. #CustomerObsession https://t.co/LyGg3aD5QM,en,Tweet,3,1040,214,141,,2017-07-06 05:22:41,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#CustomerObsession,https://www.nytimes.com/2017/06/22/insider/the-haggler-retires-but-reasons-to-be-an-irate-customer-never-end.html,,
879046517285310464,"Terrific meeting with @narendramodi. Always impressed, energized by optimism and invention in India. Excited to keep investing and growing. https://t.co/xhQ58dik3y",en,Tweet,0,7761,3252,328,,2017-06-25 21:39:56,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,https://twitter.com/PMOIndia/status/879008919816855552,,
876806972619673600,Amazing to share this moment with the @BlueOrigin team and my family. https://t.co/1fgM9jExs9,en,Tweet,1,1109,164,241,,2017-06-19 17:20:47,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,https://twitter.com/blueorigin/status/876803940330766336,,
876568434397429760,"And here’s me and my dad. I’m a very lucky son. I love you, Dad. #FathersDay https://t.co/mEBsN88DLG",en,Tweet,2,2866,156,218,,2017-06-19 01:32:55,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#FathersDay,,photo,https://pbs.twimg.com/media/DCoyQQNUMAA32P0.jpg
876567491941498880,"Flipping pancakes, Lego Saturn V, Wonder Woman matinee. Love being a dad. #FathersDay https://t.co/L9Q7zW1p0A",en,Tweet,1,2590,192,124,,2017-06-19 01:29:10,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#FathersDay,,photo,https://pbs.twimg.com/media/DCowhcOUAAED0vh.jpg
875418348598603776,Request for ideas… https://t.co/j6D68mhseL,en,Tweet,41,20225,8743,41950,,2017-06-15 21:22:53,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/DCYbVHkUMAEwSdK.jpg
875012301836832768,Rooftop #solar panels at our 1 million-square-foot fulfillment center in Baltimore now live. 50+ solar FCs will come online by 2020. https://t.co/eUpoxZ0eTt,en,Tweet,2,2835,683,259,,2017-06-14 18:29:24,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#solar,,photo,"https://pbs.twimg.com/media/DCSqr5_UIAEE3OT.jpg,https://pbs.twimg.com/media/DCSqtBLU0AAL46-.jpg,https://pbs.twimg.com/media/DCSqt-0UIAAzYo6.jpg,https://pbs.twimg.com/media/DCSqu6lVoAAJcaE.jpg"
874337020117569536,"Congrats to Jeff on his long-term leadership. John, you have size 20 shoes to fill! GE remains an American gem. https://t.co/oFF4yp9J4e",en,Tweet,0,916,195,83,,2017-06-12 21:46:04,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,https://www.washingtonpost.com/business/ge-ceo-immelt-stepping-down-flannery-to-take-over-role/2017/06/12/13d2e08e-4f63-11e7-b74e-0d2785d3083d_story.html,,
866004720984272896,Super fun morning talking rockets with a very cool group of students. Great questions. Thx to all the students and to @museumofflight! https://t.co/adXbn3bdon,en,Tweet,1,990,154,132,,2017-05-20 21:56:29,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,https://twitter.com/museumofflight/status/865966078425350144,,
863867801181855744,"I won the lottery with my mom. Thanks for literally everything, Mom. https://t.co/gEuVgxotdw",en,Tweet,4,4717,402,280,,2017-05-15 00:25:08,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/C_0TI-NXYAA9z1N.jpg
860284449195343873,"First plant in the ground at #TheSpheres, 39,999 to go. Public tours start 2018. https://t.co/6Jgo4cLb7o",en,Tweet,2,2035,536,113,,2017-05-05 03:06:10,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#TheSpheres,,photo,"https://pbs.twimg.com/media/C_BX4_NUQAAFG_E.jpg,https://pbs.twimg.com/media/C_BX60EUwAAt_vn.jpg,https://pbs.twimg.com/media/C_BX8syUIAEmG9E.jpg"
