tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1286725794861993984,"In tribute to his life and mission, Apple will be donating its proceeds from the film ‘John Lewis: Good Trouble’ to the @NCRMuseum and the @NMAAHC to further advance the values he fought for every day. https://t.co/p4hvWI92Wf",en,Tweet,13,2967,432,141,,2020-07-24 21:11:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.apple.com/newsroom/2020/07/apple-donates-its-proceeds-from-john-lewis-documentary-to-museums-that-honor-his-legacy/,,
1286384155245256704,"Proud to celebrate 25 years of the Apple Distinguished Educator program and honor the more than 3,000 educators from 45 countries who are using technology &amp; mentorship to transform students’ lives and the future. Your work has never been more important. https://t.co/lYw7OLx8Cm",en,Tweet,16,2682,455,149,,2020-07-23 22:34:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.apple.com/newsroom/2020/07/future-forward-the-40-year-mission-of-an-apple-distinguished-educator/,,
1286116673217470464,Our world is more vibrant when everyone has access to the tools they need to realize their dreams. The work these trailblazers are doing showcases what’s possible when technology is designed with accessibility at its core. https://t.co/ZbBp6Szg7b,en,Tweet,17,2404,337,102,,2020-07-23 04:51:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.apple.com/newsroom/2020/07/apple-creatives-and-disability-rights-activists-reflect-on-30-years-of-the-americans-with-disabilities-act/,,
1286027053783867393,Congratulations to this year’s @ippawards winners from all around the world! Your extraordinary photos beautifully preserve the moments that make life so magical. Outstanding work! #ShotOniPhone https://t.co/9qZ2xYkrhQ,en,Tweet,30,2469,307,76,,2020-07-22 22:55:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#ShotOniPhone,https://mashable.com/article/iphone-photography-awards-2020-winners/,,
1285569355162562562,".@Apple just released an ambitious 10-year roadmap to reduce its carbon emissions by 75% and meaningfully offset the remaining 25% through nature-based solutions. Here, meet the woman behind the mission. https://t.co/xaKVnb3Gnm",en,Retweet,19,1597,331,30,,2020-07-21 16:36:33,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",,http://vogue.cm/nqKawaU,,
1285601604620529664,We’re making a big promise to future generations to do everything we can to protect the planet we all share. It’s a promise we intend to keep. https://t.co/CUdDNw9YdN,en,Tweet,74,6405,924,220,,2020-07-21 18:44:42,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,photo,https://pbs.twimg.com/amplify_video_thumb/1285598602539102208/img/M-0MXp8QT3aEPFHM.jpg
1285550582200061952,"By 2030, Apple’s entire business will be carbon neutral — from supply chain to the power you use in every device we make. The planet we share can’t wait, and we want to be a ripple in the pond that creates a much larger change. https://t.co/bltmlnau1X",en,Tweet,109,19313,2940,479,,2020-07-21 15:21:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.apple.com/newsroom/2020/07/apple-commits-to-be-100-percent-carbon-neutral-for-its-supply-chain-and-products-by-2030/,,
1284340274022375424,"We have lost an American hero. John Lewis guided us toward a more righteous world. He marched in Selma, he marched on Washington—he marched for us all. His life's work shaped our history and his legacy inspires us to continue the march for racial equity and justice. https://t.co/WqW11757Io",en,Tweet,42,13447,1592,178,,2020-07-18 07:12:37,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,photo,https://pbs.twimg.com/media/EdLkq6lUMAAJgg7.jpg
1663544778771038211,"New backpack, 🎒 new travel experiences! The comfort it offers has opened up a whole 🌎 new world of exploration.",en,Tweet,0,4,0,10,26717,2023-05-30 16:55:57,"<a href=""https://smartecom.io"" rel=""nofollow"">SEL_Ad_Manager</a>",,,,
1284108197297438720,With new headwear options and masks in iOS 14 — we’ve got you covered! Happy #WorldEmojiDay! https://t.co/AqQp0QVefV,en,Tweet,50,12370,1555,427,,2020-07-17 15:50:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#WorldEmojiDay,,photo,https://pbs.twimg.com/ext_tw_video_thumb/1284108149775929344/pu/img/ZMbaPmqWt4IHyVhp.jpg
1283852120119107584,"At Apple, we believe in the power of education to transform lives and we're committed to partnering with communities of color to advance educational equity. Proud to be expanding our coding, creativity &amp; workforce development programs to 10 more HBCUs. https://t.co/vMO4UoudwE",en,Tweet,18,3148,421,158,,2020-07-16 22:52:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.apple.com/newsroom/2020/07/apple-teams-up-with-hbcus-to-bring-coding-and-creativity-opportunities-to-communities-across-the-us/,,
1282697461430026242,"At a time when many are facing unprecedented challenges, we’re proud to announce $400M in affordable housing projects &amp; homeowner assistance programs this year—part of Apple’s $2.5B commitment to address California’s persistent housing shortage. https://t.co/CNaWn5P8CV",en,Tweet,36,5470,689,281,,2020-07-13 18:24:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.apple.com/newsroom/2020/07/apple-allocates-more-than-400-million-to-combat-california-housing-crisis/,,
1281249676302315520,"A great education makes anything possible. We are proud to support the next generation of developers, dreamers and doers with expanded free, easy-to-access programs for coding, including a new course for teachers. https://t.co/kgqnnc6j8p",en,Tweet,108,4029,758,257,,2020-07-09 18:31:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.apple.com/newsroom/2020/07/apple-updates-coding-programs-and-resources-for-educators-and-students/,,
1279383542758207489,"As we mark this #FourthOfJuly, I am mindful that our work as a country is not finished until every American shares fully in the promise of the Declaration of Independence — true equality and the unalienable rights of life, liberty and the pursuit of happiness.",en,Tweet,24,10789,1315,414,,2020-07-04 14:56:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FourthOfJuly,,,
1277240445290987520,"Pride is typically a time of gathering, community and advocacy. This year may be different, but keeping that spirit alive is urgently important. Thank you especially to the trans community for your leadership, courage and all you do to make sure tomorrow is better than today. 🌈",en,Tweet,17,10849,1102,279,,2020-06-28 17:00:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1275407136256712707,"Like Apple, this nation of immigrants has always found strength in our diversity, and hope in the enduring promise of the American Dream. There is no new prosperity without both. Deeply disappointed by this proclamation.",en,Tweet,51,22088,2629,1040,,2020-06-23 15:35:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1275225681794748416,"This year’s #WWDC20 student developers are creating apps that do incredible things like help prepare for pandemics, reduce our carbon footprints and connect victims of sexual assault with resources they need. Amazing to see how they’re dreaming big and changing the world. https://t.co/JfmmecC54P",en,Tweet,43,8636,833,229,,2020-06-23 03:34:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#WWDC20,,photo,https://pbs.twimg.com/media/EbKC_2pU8AASkt_.jpg
1275047887425220608,Good morning developers! See you soon! #WWDC20 https://t.co/7HgxrXucwM,en,Tweet,256,39373,7567,890,,2020-06-22 15:48:00,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",#WWDC20,,photo,https://pbs.twimg.com/amplify_video_thumb/1274905963489710080/img/NNEY5x0XZFkp1FZb.jpg
1274726456577282049,Wishing dads everywhere a happy Father’s Day! Today we celebrate and honor you.,en,Tweet,13,11985,769,222,,2020-06-21 18:30:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1273973034223689729,It took more than two years for those enslaved in Texas to learn they were free in 1865. The story of America is the story of Black Americans. We can’t forget where we’ve been if we hope to get where we all want to go. #Juneteenth,en,Tweet,27,8875,1268,253,,2020-06-19 16:36:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#Juneteenth,,,
1273620400652472322,"The 478 Dreamers at Apple are members of our collective family. With creativity and passion, they’ve made us a stronger, more innovative American company. We're glad for today’s decision and will keep fighting until DACA’s protections are permanent.",en,Tweet,44,17972,2356,896,,2020-06-18 17:15:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1272917943978885121,"Congratulations to Sofia, Palash and Devin — three of our amazing #WWDC20 Swift Student Challenge winners who view challenges in the world as opportunities to effect change. Every problem is a call to action — and they are answering, loud and clear. https://t.co/OgbjRuFWYi",en,Tweet,24,2939,366,125,,2020-06-16 18:44:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#WWDC20,https://www.apple.com/newsroom/2020/06/apples-wwdc20-swift-student-challenge-winners-determined-to-shape-the-future/,,
1272544803843014656,"Grateful for today’s decision by the Supreme Court. LGBTQ people deserve equal treatment in the workplace and throughout society, and today’s decision further underlines that federal law protects their right to fairness.",en,Tweet,27,15212,1755,213,,2020-06-15 18:01:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1271113929754685441,"The unfinished work of racial justice and equality call us all to account. Things must change, and Apple's committed to being a force for that change. Today, I'm proud to announce Apple’s Racial Equity and Justice Initiative, with a $100 million commitment. https://t.co/AoYafq2xlp",en,Tweet,262,17828,4118,1047,,2020-06-11 19:15:51,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,photo,https://pbs.twimg.com/amplify_video_thumb/1271112043467173890/img/13FOWB3DgCw2XLgj.jpg
1268616786099859461,"Today, as Minneapolis gathers and the nation memorializes George Floyd, we mourn a life ended in its prime and everything it represents. We feel a duty to channel grief into action, and we hold to the hope that a single soul may yet change the world.",en,Tweet,22,9841,1072,331,,2020-06-04 21:53:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1266201296391901186,"Minneapolis is grieving for a reason. To paraphrase Dr. King, the negative peace which is the absence of tension is no substitute for the positive peace which is the presence of justice. Justice is how we heal.",en,Tweet,101,18210,2894,395,,2020-05-29 05:54:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1265716743005036544,"Larry Kramer was an American original who got loud, acted up, and saved many LGBTQ lives. His unrelenting efforts won’t be forgotten and should be held up as an example of a timeless truth: “the one thing that doesn’t abide by majority rule is a person’s conscience.”",en,Tweet,9,3233,325,95,,2020-05-27 21:49:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1264921548017655814,"We will never forget the memory and sacrifice of those who have given their lives to protect our freedoms. And it is up to all of us, as Lincoln said, to be dedicated to the unfinished work which they so nobly advanced. #MemorialDay",en,Tweet,17,6282,580,170,,2020-05-25 17:09:32,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",#MemorialDay,,,
1264245110532763648,"Wishing safety, happiness and peace to those celebrating Eid al-Fitr around the world — especially those who’ve been unable to share these special moments in person with their loved ones this year. #EidMubarak!",en,Tweet,29,10651,1516,387,,2020-05-23 20:21:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#EidMubarak,,,
1263587833735856132,Our thanks to these developers and creators who are building the life-changing apps that make the App Store such an incredible resource for accessible technology.,en,Tweet,14,2692,278,157,,2020-05-22 00:49:50,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,
